"","String","Count"
"1","thanks_for_the_follow",30780
"2","the_end_of_the",25430
"3","the_rest_of_the",23340
"4","at_the_end_of",21600
"5","for_the_first_time",19090
"6","at_the_same_time",17660
"7","is_going_to_be",17440
"8","thanks_for_the_rt",16250
"9","thank_you_for_the",15980
"10","can't_wait_to_see",15480
"11","in_the_middle_of",14820
"12","if_you_want_to",14740
"13","thank_you_so_much",14210
"14","when_it_comes_to",14180
"15","is_one_of_the",13710
"16","going_to_be_a",13430
"17","to_be_able_to",13140
"18","one_of_the_most",13070
"19","i_don't_want_to",13060
"20","i_am_going_to",12350
"21","i_can't_wait_to",11290
"22","one_of_the_best",10630
"23","one_of_my_favorite",10450
"24","i_would_like_to",9640
"25","i_was_going_to",9370
"26","i_wish_i_could",9260
"27","have_a_great_day",8590
"28","what_do_you_think",8410
"29","i_would_love_to",8410
"30","it's_going_to_be",8360
"31","hope_to_see_you",8180
"32","on_the_other_hand",8060
"33","for_the_rest_of",8030
"34","the_middle_of_the",8020
"35","a_bit_of_a",7970
"36","to_go_to_the",7960
"37","are_you_going_to",7820
"38","i_don't_know_what",7650
"39","as_much_as_i",7600
"40","thanks_so_much_for",7430
"41","on_my_way_to",7400
"42","i_just_want_to",7390
"43","i_want_to_be",7360
"44","have_a_great_weekend",7280
"45","the_top_of_the",6940
"46","i_have_no_idea",6750
"47","i_have_to_say",6720
"48","i_was_able_to",6720
"49","had_a_great_time",6690
"50","let_me_know_if",6660
"51","a_lot_of_people",6660
"52","you_don't_have_to",6460
"53","i_thought_it_was",6350
"54","as_well_as_the",6230
"55","by_the_end_of",6030
"56","i_don't_know_if",6000
"57","was_one_of_the",5940
"58","thanks_for_the_mention",5920
"59","the_bottom_of_the",5850
"60","for_a_long_time",5840
"61","hope_you_have_a",5810
"62","i_look_forward_to",5800
"63","in_the_first_place",5800
"64","in_front_of_the",5740
"65","will_be_able_to",5690
"66","looking_forward_to_the",5660
"67","do_you_have_a",5640
"68","have_a_lot_of",5630
"69","a_little_bit_of",5610
"70","i_feel_like_i",5540
"71","so_much_for_the",5500
"72","there_are_so_many",5430
"73","the_first_time_in",5420
"74","to_get_out_of",5410
"75","if_you_have_a",5380
"76","the_best_way_to",5380
"77","you_so_much_for",5380
"78","going_to_have_to",5360
"79","as_soon_as_i",5300
"80","most_of_the_time",5280
"81","i_need_to_get",5280
"82","i_don't_know_how",5220
"83","was_going_to_be",5200
"84","in_the_united_states",5180
"85","that_awkward_moment_when",5100
"86","the_back_of_the",5000
"87","i'm_not_going_to",5000
"88","what_are_you_doing",5000
"89","we_are_going_to",4990
"90","at_the_top_of",4980
"91","to_go_back_to",4940
"92","thank_you_for_your",4910
"93","thanks_for_the_#ff",4900
"94","is_one_of_my",4880
"95","i_wish_i_had",4870
"96","nothing_to_do_with",4830
"97","looking_forward_to_seeing",4820
"98","the_first_time_i",4800
"99","hope_all_is_well",4790
"100","for_those_of_you",4700
"101","be_a_part_of",4690
"102","wait_to_see_you",4690
"103","i_don't_have_to",4630
"104","can't_wait_for_the",4610
"105","trying_to_figure_out",4600
"106","end_of_the_day",4590
"107","a_great_way_to",4580
"108","are_going_to_be",4550
"109","i_don't_know_why",4510
"110","the_fact_that_i",4490
"111","i_wish_i_was",4490
"112","looking_forward_to_it",4440
"113","to_do_with_the",4440
"114","i_had_no_idea",4400
"115","for_the_shout_out",4390
"116","do_you_want_to",4340
"117","those_of_you_who",4340
"118","i_didn't_want_to",4300
"119","you_don't_want_to",4290
"120","for_the_most_part",4250
"121","did_you_know_that",4250
"122","as_a_result_of",4240
"123","on_the_way_to",4230
"124","i_want_to_go",4230
"125","on_the_other_side",4230
"126","when_i_was_a",4230
"127","the_name_of_the",4220
"128","to_be_in_the",4220
"129","it_would_be_a",4210
"130","thanks_for_the_shout",4200
"131","the_fact_that_the",4190
"132","you_have_a_great",4180
"133","want_to_go_to",4170
"134","i_don't_think_i",4140
"135","i_want_to_do",4140
"136","this_is_one_of",4060
"137","a_lot_of_fun",4060
"138","i_don't_have_a",4050
"139","i_love_you_so",4020
"140","a_few_weeks_ago",4000
"141","if_you_have_any",3990
"142","me_know_if_you",3980
"143","in_the_midst_of",3980
"144","you_are_going_to",3980
"145","a_few_years_ago",3970
"146","i_can't_wait_for",3970
"147","the_beginning_of_the",3960
"148","would_love_to_see",3960
"149","you_want_to_be",3950
"150","in_the_form_of",3940
"151","it_was_a_great",3920
"152","hope_you_had_a",3920
"153","in_front_of_me",3910
"154","for_a_couple_of",3900
"155","a_couple_of_weeks",3890
"156","the_other_side_of",3880
"157","a_lot_of_the",3870
"158","a_lot_of_time",3870
"159","i'm_going_to_be",3870
"160","i'm_looking_forward_to",3850
"161","turned_out_to_be",3840
"162","as_you_can_see",3830
"163","can't_wait_to_get",3800
"164","take_a_look_at",3790
"165","i_really_want_to",3790
"166","this_is_going_to",3780
"167","to_get_back_to",3770
"168","as_well_as_a",3760
"169","thought_it_would_be",3750
"170","you_would_like_to",3750
"171","can_i_get_a",3740
"172","know_what_to_do",3730
"173","the_side_of_the",3710
"174","love_you_so_much",3670
"175","on_top_of_the",3640
"176","in_a_long_time",3600
"177","you_have_to_do",3590
"178","i_went_to_the",3580
"179","i_have_to_go",3570
"180","makes_me_want_to",3560
"181","would_you_like_to",3540
"182","in_a_way_that",3540
"183","if_you_are_a",3540
"184","the_rest_of_my",3520
"185","figure_out_how_to",3520
"186","i_want_to_see",3480
"187","this_is_the_first",3460
"188","i_just_wanted_to",3460
"189","from_time_to_time",3450
"190","happy_mothers_day_to",3440
"191","be_one_of_the",3430
"192","let_us_know_if",3400
"193","the_only_one_who",3400
"194","a_chance_to_win",3400
"195","i_thought_i_would",3400
"196","have_to_go_to",3370
"197","i_thought_i_was",3370
"198","at_the_beginning_of",3360
"199","over_and_over_again",3340
"200","to_take_care_of",3340
"201","thanks_for_the_retweet",3320
"202","it_was_a_good",3310
"203","for_a_few_days",3310
"204","there_are_a_lot",3300
"205","happy_mother's_day_to",3300
"206","nice_to_meet_you",3280
"207","i_thought_it_would",3280
"208","at_the_bottom_of",3270
"209","i_don't_even_know",3270
"210","if_you_don't_have",3250
"211","have_no_idea_what",3230
"212","don't_know_how_to",3230
"213","thank_you_for_following",3220
"214","and_i_have_to",3220
"215","this_is_not_a",3220
"216","are_a_lot_of",3210
"217","to_get_rid_of",3200
"218","to_come_up_with",3190
"219","a_part_of_the",3190
"220","i_really_need_to",3190
"221","the_only_way_to",3180
"222","do_you_have_any",3180
"223","you_for_the_follow",3170
"224","a_member_of_the",3160
"225","don't_get_me_wrong",3160
"226","thanks_for_following_me",3160
"227","to_get_to_the",3160
"228","to_share_with_you",3150
"229","in_the_name_of",3150
"230","to_be_a_part",3130
"231","to_be_a_good",3130
"232","thank_you_to_all",3120
"233","the_rest_of_us",3110
"234","if_you_would_like",3100
"235","i_feel_like_i'm",3090
"236","it_has_been_a",3090
"237","keep_up_the_good",3080
"238","is_one_of_those",3080
"239","let_me_know_what",3080
"240","other_side_of_the",3080
"241","what_to_do_with",3070
"242","for_the_sake_of",3070
"243","of_the_united_states",3070
"244","the_only_thing_that",3070
"245","find_a_way_to",3060
"246","you_have_to_be",3060
"247","should_be_able_to",3050
"248","don't_want_to_be",3050
"249","there_will_be_a",3050
"250","to_be_part_of",3030
"251","to_be_one_of",3030
"252","it_would_have_been",3030
"253","forward_to_seeing_you",3020
"254","i_have_to_admit",3000
"255","as_part_of_the",3000
"256","we_look_forward_to",2990
"257","it_will_be_a",2990
"258","i_was_trying_to",2980
"259","may_or_may_not",2980
"260","all_over_the_place",2980
"261","i_am_not_a",2970
"262","thanks_to_everyone_who",2960
"263","you_know_what_i",2960
"264","in_the_back_of",2950
"265","as_one_of_the",2950
"266","in_the_case_of",2950
"267","thanks_for_all_the",2940
"268","as_long_as_you",2940
"269","once_in_a_while",2920
"270","so_i_decided_to",2920
"271","as_long_as_i",2910
"272","thank_you_very_much",2910
"273","a_couple_of_days",2900
"274","i_was_in_the",2900
"275","had_a_lot_of",2900
"276","am_i_the_only",2890
"277","to_figure_out_how",2890
"278","and_the_rest_of",2890
"279","up_the_good_work",2870
"280","i_think_it_is",2870
"281","when_i_was_in",2860
"282","all_over_the_world",2850
"283","here_are_a_few",2850
"284","all_of_a_sudden",2850
"285","and_i_have_a",2850
"286","i_love_you_too",2840
"287","this_time_of_year",2840
"288","one_of_the_first",2830
"289","know_what_you_think",2830
"290","in_the_process_of",2830
"291","is_a_lot_of",2820
"292","in_the_way_of",2810
"293","i_am_trying_to",2810
"294","the_last_time_i",2800
"295","i_miss_you_too",2790
"296","fell_in_love_with",2780
"297","i_think_i_have",2780
"298","the_new_york_times",2770
"299","by_the_time_i",2770
"300","but_i_don't_think",2770
"301","the_end_of_this",2760
"302","not_be_able_to",2760
"303","what_is_your_favorite",2760
"304","in_one_of_the",2760
"305","you_can_do_it",2760
"306","this_is_what_i",2750
"307","was_supposed_to_be",2750
"308","don't_know_what_to",2740
"309","a_big_fan_of",2730
"310","i_think_it_was",2730
"311","some_of_the_best",2720
"312","have_to_do_is",2720
"313","i_want_you_to",2720
"314","great_to_see_you",2720
"315","you_can_see_the",2710
"316","day_to_all_the",2700
"317","to_be_on_the",2690
"318","awkward_moment_when_you",2680
"319","but_i_have_to",2680
"320","i_have_to_do",2680
"321","a_few_of_the",2670
"322","let_me_tell_you",2670
"323","that_there_is_a",2670
"324","out_of_the_way",2660
"325","going_to_be_the",2660
"326","one_of_the_few",2660
"327","i_need_to_go",2650
"328","some_of_the_most",2650
"329","on_the_side_of",2640
"330","for_a_chance_to",2640
"331","there_are_a_few",2640
"332","please_let_me_know",2630
"333","get_out_of_the",2610
"334","can't_wait_to_hear",2610
"335","won't_be_able_to",2610
"336","i_am_not_sure",2610
"337","what_is_going_on",2600
"338","in_and_out_of",2600
"339","i_hope_you_have",2600
"340","how_much_i_love",2590
"341","to_see_you_there",2580
"342","and_i_want_to",2580
"343","the_first_day_of",2580
"344","i_have_a_feeling",2580
"345","let_me_know_when",2580
"346","just_got_back_from",2570
"347","thanks_for_the_support",2570
"348","in_the_near_future",2570
"349","on_the_back_of",2560
"350","at_the_university_of",2560
"351","a_great_deal_of",2560
"352","with_a_lot_of",2560
"353","s_o_to_my",2550
"354","what_do_you_do",2550
"355","not_the_only_one",2550
"356","i_feel_like_a",2550
"357","to_keep_up_with",2540
"358","looking_forward_to_a",2540
"359","be_able_to_get",2530
"360","want_to_be_a",2530
"361","to_check_it_out",2530
"362","not_being_able_to",2530
"363","i_need_to_be",2530
"364","it_was_time_to",2530
"365","to_the_fact_that",2520
"366","i_don't_know_about",2520
"367","in_item_above_pp",2520
"368","at_the_age_of",2510
"369","be_sure_to_check",2510
"370","looking_forward_to_your",2510
"371","a_lot_of_things",2510
"372","all_the_way_to",2500
